date,shipments,avg_cost,avg_days,dayofweek,month,quarter,is_weekend,is_peak,shipments_ma7,shipments_ma14,shipments_ma30,shipments_std7,shipments_lag1,shipments_lag3,shipments_lag7,shipments_lag14,shipments_pct1,shipments_pct7
2022-01-01,4,133.75,4.5,5,1,1,1,0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,15,141.46666666666667,6.133333333333334,6,1,1,1,0,9.5,9.5,9.5,7.7781745930520225,4.0,0.0,0.0,0.0,2.75,0.0
2022-01-03,14,165.85714285714286,5.142857142857143,0,1,1,0,0,11.0,11.0,11.0,6.082762530298219,15.0,0.0,0.0,0.0,-0.06666666666666665,0.0
2022-01-04,17,127.94117647058823,6.176470588235294,1,1,1,0,0,12.5,12.5,12.5,5.802298395176403,14.0,4.0,0.0,0.0,0.2142857142857142,0.0
2022-01-05,26,141.80769230769232,7.115384615384615,2,1,1,0,0,15.2,15.2,15.2,7.854934754662192,17.0,15.0,0.0,0.0,0.5294117647058822,0.0
2022-01-06,37,151.83783783783784,5.918918918918919,3,1,1,0,0,18.833333333333332,18.833333333333332,18.833333333333332,11.338724208069737,26.0,14.0,0.0,0.0,0.42307692307692313,0.0
2022-01-07,45,126.75555555555556,5.5777777777777775,4,1,1,0,0,22.571428571428573,22.571428571428573,22.571428571428573,14.31615803741985,37.0,17.0,0.0,0.0,0.21621621621621623,0.0
2022-01-08,42,142.9047619047619,6.880952380952381,5,1,1,1,0,28.0,25.0,25.0,13.266499161421601,45.0,26.0,4.0,0.0,-0.06666666666666665,5.0
2022-01-09,35,172.54285714285714,6.485714285714286,6,1,1,1,0,30.857142857142858,26.11111111111111,26.11111111111111,12.102734834581419,42.0,37.0,15.0,0.0,-0.16666666666666663,1.3333333333333335
2022-01-10,26,120.0,5.1923076923076925,0,1,1,0,0,32.57142857142857,26.1,26.1,9.980934205726822,35.0,45.0,14.0,0.0,-0.2571428571428571,0.8571428571428572
2022-01-11,34,145.58823529411765,6.588235294117647,1,1,1,0,0,35.0,26.818181818181817,26.818181818181817,7.257180352359088,26.0,42.0,17.0,0.0,0.3076923076923077,1.0
2022-01-12,30,136.4,6.366666666666666,2,1,1,0,0,35.57142857142857,27.083333333333332,27.083333333333332,6.553806600166125,34.0,35.0,26.0,0.0,-0.11764705882352944,0.15384615384615374
2022-01-13,41,130.70731707317074,6.414634146341464,3,1,1,0,0,36.142857142857146,28.153846153846153,28.153846153846153,6.86606562325596,30.0,26.0,37.0,0.0,0.3666666666666667,0.10810810810810811
2022-01-14,36,144.80555555555554,5.777777777777778,4,1,1,0,0,34.857142857142854,28.714285714285715,28.714285714285715,5.669467095138417,41.0,34.0,45.0,0.0,-0.12195121951219512,-0.19999999999999996
2022-01-15,21,131.9047619047619,5.809523809523809,5,1,1,1,0,31.857142857142858,29.928571428571427,28.2,6.7188434378884905,36.0,30.0,42.0,4.0,-0.41666666666666663,-0.5
2022-01-16,28,136.25,6.321428571428571,6,1,1,1,0,30.857142857142858,30.857142857142858,28.1875,6.69399162006675,21.0,41.0,35.0,15.0,0.33333333333333326,-0.19999999999999996
2022-01-17,39,153.10256410256412,5.487179487179487,0,1,1,0,0,32.714285714285715,32.642857142857146,28.823529411764707,6.921326600064614,28.0,36.0,26.0,14.0,0.3928571428571428,0.5
2022-01-18,29,114.20689655172414,5.448275862068965,1,1,1,0,0,32.0,33.5,28.833333333333332,7.0237691685684975,39.0,21.0,34.0,17.0,-0.2564102564102564,-0.1470588235294118
2022-01-19,37,127.35135135135135,5.972972972972973,2,1,1,0,0,33.0,34.285714285714285,29.263157894736842,7.1879528842826135,29.0,28.0,30.0,26.0,0.27586206896551735,0.2333333333333334
2022-01-20,31,121.80645161290323,5.290322580645161,3,1,1,0,0,31.571428571428573,33.857142857142854,29.35,6.267831705280093,37.0,39.0,41.0,37.0,-0.16216216216216217,-0.24390243902439024
2022-01-21,33,128.9090909090909,5.454545454545454,4,1,1,0,0,31.142857142857142,33.0,29.523809523809526,6.011892975000239,31.0,29.0,36.0,45.0,0.06451612903225801,-0.08333333333333337
2022-01-22,37,124.75675675675676,6.297297297297297,5,1,1,1,0,33.42857142857143,32.642857142857146,29.863636363636363,4.3149794459588895,33.0,37.0,21.0,42.0,0.1212121212121211,0.7619047619047619
2022-01-23,41,138.65853658536585,6.073170731707317,6,1,1,1,0,35.285714285714285,33.07142857142857,30.347826086956523,4.386125310350276,37.0,31.0,28.0,35.0,0.10810810810810811,0.4642857142857142
2022-01-24,35,128.77142857142857,5.885714285714286,0,1,1,0,0,34.714285714285715,33.714285714285715,30.541666666666668,4.070801956792867,41.0,33.0,39.0,26.0,-0.14634146341463417,-0.10256410256410253
2022-01-25,32,145.875,6.5,1,1,1,0,0,35.142857142857146,33.57142857142857,30.6,3.4846602621858564,35.0,37.0,29.0,34.0,-0.08571428571428574,0.10344827586206895
2022-01-26,46,148.41304347826087,5.956521739130435,2,1,1,0,0,36.42857142857143,34.714285714285715,31.192307692307693,5.411627692821665,32.0,41.0,37.0,30.0,0.4375,0.2432432432432432
2022-01-27,33,136.6060606060606,5.484848484848484,3,1,1,0,0,36.714285714285715,34.142857142857146,31.25925925925926,5.122313465427051,46.0,35.0,31.0,41.0,-0.28260869565217395,0.06451612903225801
2022-01-28,32,128.90625,6.15625,4,1,1,0,0,36.57142857142857,33.857142857142854,31.285714285714285,5.255382728122441,33.0,32.0,33.0,36.0,-0.030303030303030276,-0.030303030303030276
2022-01-29,34,127.41176470588235,6.470588235294118,5,1,1,1,0,36.142857142857146,34.785714285714285,31.379310344827587,5.336308693862315,32.0,46.0,37.0,21.0,0.0625,-0.08108108108108103
2022-01-30,33,146.72727272727272,5.787878787878788,6,1,1,1,0,35.0,35.142857142857146,31.433333333333334,4.966554808583786,34.0,33.0,41.0,28.0,-0.02941176470588236,-0.19512195121951215
2022-01-31,38,160.02631578947367,6.368421052631579,0,1,1,0,0,35.42857142857143,35.07142857142857,32.56666666666667,5.094347941825432,33.0,32.0,35.0,39.0,0.1515151515151516,0.08571428571428563
2022-02-01,38,160.0,6.052631578947368,1,2,1,0,0,36.285714285714285,35.714285714285715,33.333333333333336,4.923220007078223,38.0,34.0,32.0,29.0,0.0,0.1875
2022-02-02,36,148.38888888888889,5.861111111111111,2,2,1,0,0,34.857142857142854,35.642857142857146,34.06666666666667,2.4784787961282215,38.0,33.0,46.0,37.0,-0.052631578947368474,-0.21739130434782605
2022-02-03,31,133.70967741935485,5.741935483870968,3,2,1,0,0,34.57142857142857,35.642857142857146,34.53333333333333,2.8199966227605677,36.0,38.0,33.0,31.0,-0.13888888888888884,-0.06060606060606055
2022-02-04,45,147.42222222222222,5.866666666666666,4,2,1,0,0,36.42857142857143,36.5,35.166666666666664,4.57737708217064,31.0,38.0,32.0,33.0,0.4516129032258065,0.40625
2022-02-05,41,147.70731707317074,5.487804878048781,5,2,1,1,0,37.42857142857143,36.785714285714285,35.3,4.720774754816664,45.0,36.0,34.0,37.0,-0.0888888888888889,0.2058823529411764
2022-02-06,22,150.54545454545453,5.818181818181818,6,2,1,1,0,35.857142857142854,35.42857142857143,34.53333333333333,7.470577207252721,41.0,31.0,33.0,41.0,-0.46341463414634143,-0.33333333333333337
2022-02-07,29,150.44827586206895,5.9655172413793105,0,2,1,0,0,34.57142857142857,35.0,34.1,7.80720058358827,22.0,45.0,38.0,35.0,0.3181818181818181,-0.23684210526315785
2022-02-08,28,104.14285714285714,5.285714285714286,1,2,1,0,0,33.142857142857146,34.714285714285715,33.86666666666667,7.988086367179808,29.0,41.0,38.0,32.0,-0.03448275862068961,-0.26315789473684215
2022-02-09,37,154.3783783783784,5.675675675675675,2,2,1,0,0,33.285714285714285,34.07142857142857,34.233333333333334,8.056349167256965,28.0,22.0,36.0,46.0,0.3214285714285714,0.02777777777777768
2022-02-10,37,133.86486486486487,5.8108108108108105,3,2,1,0,0,34.142857142857146,34.357142857142854,34.333333333333336,8.091735937126876,37.0,29.0,31.0,33.0,0.0,0.19354838709677424
2022-02-11,36,153.47222222222223,5.472222222222222,4,2,1,0,0,32.857142857142854,34.642857142857146,34.53333333333333,6.6690471940293365,37.0,28.0,45.0,32.0,-0.027027027027026973,-0.19999999999999996
2022-02-12,28,162.85714285714286,5.857142857142857,5,2,1,1,0,31.0,34.214285714285715,34.1,5.773502691896267,36.0,37.0,41.0,34.0,-0.2222222222222222,-0.31707317073170727
2022-02-13,35,142.37142857142857,6.085714285714285,6,2,1,1,0,32.857142857142854,34.357142857142854,34.06666666666667,4.298393941484489,28.0,37.0,22.0,33.0,0.25,0.5909090909090908
2022-02-14,23,156.7391304347826,5.130434782608695,0,2,1,0,0,32.0,33.285714285714285,34.13333333333333,5.597618541248898,35.0,36.0,29.0,38.0,-0.34285714285714286,-0.2068965517241379
2022-02-15,35,133.68571428571428,5.514285714285714,1,2,1,0,0,33.0,33.07142857142857,34.36666666666667,5.385164807134513,23.0,28.0,28.0,38.0,0.5217391304347827,0.25
2022-02-16,34,138.0,6.147058823529412,2,2,1,0,0,32.57142857142857,32.92857142857143,34.2,5.126959555693255,35.0,35.0,37.0,36.0,-0.02857142857142858,-0.08108108108108103
2022-02-17,36,132.97222222222223,6.666666666666667,3,2,1,0,0,32.42857142857143,33.285714285714285,34.43333333333333,4.995235825502241,34.0,23.0,37.0,31.0,0.05882352941176472,-0.027027027027026973
2022-02-18,32,159.65625,5.75,4,2,1,0,0,31.857142857142858,32.357142857142854,34.266666666666666,4.7409060817728275,36.0,35.0,36.0,45.0,-0.11111111111111116,-0.11111111111111116
